"_id","nowfloor","destination","num"
"00012-16",16,19,4
"00012-17",17,15,11
"00012-18",18,8,13
"00012-19",19,6,13
"00012-20",20,10,14
"00012-21",21,23,10
"00012-22",22,5,7
"00012-23",23,26,6
"00012-24",24,1,12
"00012-25",25,18,7
"00012-26",26,12,7
"00012-27",27,24,11
"00013-01",1,22,7
"00013-02",2,15,10
"00013-03",3,11,6
"00013-04",4,17,10
"00013-05",5,8,10
"00013-06",6,25,11
"00013-07",7,10,8
"00013-08",8,26,3
"00013-09",9,2,7
"00013-10",10,19,6
"00013-11",11,24,3
"00013-12",12,13,5
"00013-13",13,3,6
"00013-14",14,1,13
"00013-15",15,6,7
"00013-16",16,9,4
"00013-17",17,21,3
"00013-18",18,14,3
"00013-19",19,23,9
"00013-20",20,18,3
"00013-21",21,20,5
"00013-22",22,16,13
"00013-23",23,7,10
"00013-24",24,4,9
"00013-25",25,27,13
"00013-26",26,12,10
"00013-27",27,5,6
"00014-01",1,2,6
"00014-02",2,14,12
"00014-03",3,7,11
"00014-04",4,15,7
"00014-05",5,8,11
"00014-06",6,24,5
"00014-07",7,9,5
"00014-08",8,17,4
"00014-09",9,13,13
"00014-10",10,11,7
"00014-11",11,18,12
"00014-12",12,20,3
"00014-13",13,27,11
"00014-14",14,23,12
"00014-15",15,10,6
"00014-16",16,3,5
"00014-17",17,21,11
"00014-18",18,25,4
"00014-19",19,22,5
"00014-20",20,4,9
"00014-21",21,1,6
"00014-22",22,19,11
"00014-23",23,6,9
"00014-24",24,26,9
"00014-25",25,5,10
"00014-26",26,12,7
"00014-27",27,16,6
"00015-01",1,18,13
"00015-02",2,4,7
"00015-03",3,10,8
"00015-04",4,9,11
"00015-05",5,1,11
"00015-06",6,8,13
"00015-07",7,5,10
"00015-08",8,22,13
"00015-09",9,27,8
"00015-10",10,24,7
"00015-11",11,6,11
"00015-12",12,2,4
"00015-13",13,25,12
"00015-14",14,19,8
"00015-15",15,3,14
"00015-16",16,15,9
"00015-17",17,21,12
"00015-18",18,12,14
"00015-19",19,20,9
"00015-20",20,23,3
"00015-21",21,13,3
"00015-22",22,16,6
"00015-23",23,14,12
"00015-24",24,7,13
"00015-25",25,26,9
"00015-26",26,11,4
"00015-27",27,17,8
"00016-01",1,3,9
"00016-02",2,23,12
"00016-03",3,11,3
"00016-04",4,5,7
"00016-05",5,27,4
"00016-06",6,13,7
"00016-07",7,2,5
"00016-08",8,16,4
"00016-09",9,24,9
"00016-10",10,15,7
"00016-11",11,4,10
"00016-12",12,1,7
"00016-13",13,14,5
"00016-14",14,22,8
"00016-15",15,12,11
"00016-16",16,10,5
"00016-17",17,19,12
"00016-18",18,20,8
"00016-19",19,8,5
"00016-20",20,9,4
"00016-21",21,25,6
"00016-22",22,6,9
"00016-23",23,18,12
"00016-24",24,21,13
"00016-25",25,26,7
"00016-26",26,17,12
"00016-27",27,7,10
"00017-01",1,18,7
"00017-02",2,9,10
"00017-03",3,19,14
"00017-04",4,3,9
"00017-05",5,1,6
"00017-06",6,24,6
"00017-07",7,25,11
"00017-08",8,2,7
"00017-09",9,10,11
"00017-10",10,26,11
"00017-11",11,20,9
"00017-12",12,14,4
"00017-13",13,4,6
"00017-14",14,15,4
"00017-15",15,7,10
"00017-16",16,13,5
"00017-17",17,22,8
"00017-18",18,27,13
"00017-19",19,11,3
"00017-20",20,17,6
"00017-21",21,6,6
"00017-22",22,12,5
"00017-23",23,16,3
"00017-24",24,23,6
"00017-25",25,5,4
"00017-26",26,21,12
"00017-27",27,8,6
"00018-01",1,25,4
"00018-02",2,21,6
"00018-03",3,16,5
"00018-04",4,15,7
"00018-05",5,22,11
"00018-06",6,9,14
"00018-07",7,14,14
"00018-08",8,20,5
"00018-09",9,8,8
"00018-10",10,5,12
"00018-11",11,17,13
"00018-12",12,1,11
"00018-13",13,7,7
"00018-14",14,12,12
"00018-15",15,26,5
"00018-16",16,4,6
"00018-17",17,3,9
"00018-18",18,24,13
"00018-19",19,23,8
"00018-20",20,19,3
"00018-21",21,11,11
"00018-22",22,13,5
"00018-23",23,27,7
"00018-24",24,2,10
"00018-25",25,18,4
"00018-26",26,10,3
"00018-27",27,6,8
"00019-01",1,16,10
"00019-02",2,27,4
"00019-03",3,26,9
"00019-04",4,21,4
"00019-05",5,23,7
"00019-06",6,18,14
"00019-07",7,15,12
"00019-08",8,14,8
"00019-09",9,2,9
"00019-10",10,3,8
"00019-11",11,24,4
"00019-12",12,10,4
"00019-13",13,1,9
"00019-14",14,25,5
"00019-15",15,12,12
"00019-16",16,9,7
"00019-17",17,20,4
"00019-18",18,5,10
"00019-19",19,13,13
"00019-20",20,4,6
"00019-21",21,22,8
"00019-22",22,6,10
"00019-23",23,17,12
"00019-24",24,7,3
"00019-25",25,11,13
"00019-26",26,8,7
"00019-27",27,19,9
"00020-01",1,3,12
"00020-02",2,20,5
"00020-03",3,7,3
"00020-04",4,25,4
"00020-05",5,11,12
"00020-06",6,22,14
"00020-07",7,12,6
"00020-08",8,23,3
"00020-09",9,2,4
"00020-10",10,19,6
"00020-11",11,18,10
"00020-12",12,26,11
"00020-13",13,5,9
"00020-14",14,17,9
"00020-15",15,24,14
"00020-16",16,13,4
"00020-17",17,14,3
"00020-18",18,4,5
"00020-19",19,15,9
"00020-20",20,21,9
"00020-21",21,1,8
"00020-22",22,27,4
"00020-23",23,16,7
"00020-24",24,9,14
"00020-25",25,8,6
"00020-26",26,10,13
"00020-27",27,6,11
"00021-01",1,27,12
"00021-02",2,23,13
"00021-03",3,19,3
"00021-04",4,5,3
"00021-05",5,4,12
"00021-06",6,3,13
"00021-07",7,8,10
"00021-08",8,26,5
"00021-09",9,16,4
"00021-10",10,6,8
"00021-11",11,21,3
"00021-12",12,17,4
"00021-13",13,25,10
"00021-14",14,24,7
"00021-15",15,14,7
"00021-16",16,1,6
"00021-17",17,22,5
"00021-18",18,7,12
"00021-19",19,15,13
"00021-20",20,18,14
"00021-21",21,9,3
"00021-22",22,12,4
"00021-23",23,10,7
"00021-24",24,13,10
"00021-25",25,20,3
"00021-26",26,11,13
"00021-27",27,2,10
"00022-01",1,27,6
"00022-02",2,3,13
"00022-03",3,7,13
"00022-04",4,21,12
"00022-05",5,18,6
"00022-06",6,22,11
"00022-07",7,9,8
"00022-08",8,16,11
"00022-09",9,2,11
"00022-10",10,8,12
"00022-11",11,19,10
"00022-12",12,23,7
"00022-13",13,25,10
"00022-14",14,24,14
"00022-15",15,12,3
"00022-16",16,5,12
"00022-17",17,10,6
"00022-18",18,4,11
"00022-19",19,17,5
"00022-20",20,13,8
"00022-21",21,26,3
"00022-22",22,20,4
"00022-23",23,14,4
"00022-24",24,15,14
"00022-25",25,6,12
"00022-26",26,1,4
"00022-27",27,11,10
"00023-01",1,18,13
"00023-02",2,26,14
"00023-03",3,21,13
"00023-04",4,1,3
"00023-05",5,19,12
"00023-06",6,22,11
"00023-07",7,2,7
"00023-08",8,16,11
"00023-09",9,13,10
"00023-10",10,6,12
"00023-11",11,27,14
"00023-12",12,9,5
"00023-13",13,8,3
"00023-14",14,23,7
"00023-15",15,10,11
"00023-16",16,20,3
"00023-17",17,5,14
"00023-18",18,15,6
"00023-19",19,25,5
"00023-20",20,3,7
"00023-21",21,12,5
"00023-22",22,17,4
"00023-23",23,7,5
"00023-24",24,14,6
"00023-25",25,4,12
"00023-26",26,24,11
"00023-27",27,11,14
"00024-01",1,13,5
"00024-02",2,12,12
"00024-03",3,20,5
"00024-04",4,16,4
"00024-05",5,11,10
"00024-06",6,9,7
"00024-07",7,1,5
"00024-08",8,3,10
"00024-09",9,6,5
"00024-10",10,19,3
"00024-11",11,23,5
"00024-12",12,18,11
"00024-13",13,5,12
"00024-14",14,26,11
"00024-15",15,17,8
"00024-16",16,27,9
"00024-17",17,14,6
"00024-18",18,24,4
"00024-19",19,15,8
"00024-20",20,2,13
"00024-21",21,10,10
"00024-22",22,7,14
"00024-23",23,8,14
"00024-24",24,21,5
"00024-25",25,22,12
"00024-26",26,25,4
"00024-27",27,4,11
"00025-01",1,15,14
"00025-02",2,11,9
"00025-03",3,5,8
"00025-04",4,2,13
"00025-05",5,14,10
"00025-06",6,22,10
"00025-07",7,18,13
"00025-08",8,25,4
"00025-09",9,4,13
"00025-10",10,12,6
"00025-11",11,10,12
"00025-12",12,17,3
"00025-13",13,21,14
"00025-14",14,3,6
"00025-15",15,7,10
"00025-16",16,24,13
"00025-17",17,6,4
"00025-18",18,13,7
"00025-19",19,27,8
"00025-20",20,8,14
"00025-21",21,1,6
"00025-22",22,23,12
"00025-23",23,26,13
"00025-24",24,20,8
"00025-25",25,9,6
"00025-26",26,19,5
"00025-27",27,16,8
"00026-01",1,17,13
"00026-02",2,15,6
"00026-03",3,7,7
"00026-04",4,11,9
"00026-05",5,26,8
"00026-06",6,23,12
"00026-07",7,13,11
"00026-08",8,5,8
"00026-09",9,1,13
"00026-10",10,21,14
"00026-11",11,20,5
"00026-12",12,4,7
"00026-13",13,9,9
"00026-14",14,24,9
"00026-15",15,12,11
"00026-16",16,22,13
"00026-17",17,25,4
"00026-18",18,19,14
"00026-19",19,18,11
"00026-20",20,16,9
"00026-21",21,3,6
"00026-22",22,14,13
"00026-23",23,2,9
"00026-24",24,27,10
"00026-25",25,6,9
"00026-26",26,10,9
"00026-27",27,8,9
"00027-01",1,9,4
"00027-02",2,3,8
"00027-03",3,15,13
"00027-04",4,6,13
"00027-05",5,17,14
"00027-06",6,7,8
"00027-07",7,2,10
"00027-08",8,24,5
"00027-09",9,16,12
"00027-10",10,1,5
"00027-11",11,23,10
"00027-12",12,18,8
"00027-13",13,4,4
"00027-14",14,11,4
"00027-15",15,8,7
"00027-16",16,26,4
"00027-17",17,21,10
"00027-18",18,10,8
"00027-19",19,22,4
"00027-20",20,27,14
"00027-21",21,13,8
"00027-22",22,19,14
"00027-23",23,12,9
"00027-24",24,5,10
"00027-25",25,20,12
"00027-26",26,14,3
"00027-27",27,25,4
"00028-01",1,22,7
"00028-02",2,1,4
"00028-03",3,5,12
"00028-04",4,19,9
"00028-05",5,11,14
"00028-06",6,17,4
"00028-07",7,12,14
"00028-08",8,25,3
"00028-09",9,3,8
"00028-10",10,9,4
"00028-11",11,24,6
"00028-12",12,27,3
"00028-13",13,14,11
"00028-14",14,18,9
"00028-15",15,20,11
"00028-16",16,13,12
"00028-17",17,15,9
"00028-18",18,8,13
"00028-19",19,10,8
"00028-20",20,7,3
"00028-21",21,2,14
"00028-22",22,26,3
"00028-23",23,16,4
"00028-24",24,4,12
"00028-25",25,23,7
"00028-26",26,6,3
"00028-27",27,21,11
"00029-01",1,7,10
"00029-02",2,25,8
"00029-03",3,22,5
"00029-04",4,6,13
"00029-05",5,13,11
"00029-06",6,8,8
"00029-07",7,27,3
"00029-08",8,9,10
"00029-09",9,15,8
"00029-10",10,2,10
"00029-11",11,20,9
"00029-12",12,14,10
"00029-13",13,24,12
"00029-14",14,19,5
"00029-15",15,11,10
"00029-16",16,23,7
"00029-17",17,12,9
"00029-18",18,10,14
"00029-19",19,1,5
"00029-20",20,16,5
"00029-21",21,17,4
"00029-22",22,4,10
"00029-23",23,18,7
"00029-24",24,21,3
"00029-25",25,5,11
"00029-26",26,3,3
"00029-27",27,26,6
"00030-01",1,12,12
"00030-02",2,8,9
"00030-03",3,23,8
"00030-04",4,1,7
"00030-05",5,14,9
"00030-06",6,9,3
"00030-07",7,24,5
"00030-08",8,10,14
"00030-09",9,25,10
"00030-10",10,19,13
"00030-11",11,6,5
"00030-12",12,5,13
"00030-13",13,21,6
"00030-14",14,27,11
"00030-15",15,4,4
"00030-16",16,26,3
"00030-17",17,11,14
"00030-18",18,20,11
"00030-19",19,22,8
"00030-20",20,17,6
"00030-21",21,13,3
"00030-22",22,2,8
"00030-23",23,18,14
"00030-24",24,16,11
"00030-25",25,15,11
"00030-26",26,7,13
"00030-27",27,3,5
"00031-01",1,22,13
"00031-02",2,5,7
"00031-03",3,17,6
"00031-04",4,25,12
"00031-05",5,23,5
"00031-06",6,13,4
"00031-07",7,19,8
"00031-08",8,1,14
"00031-09",9,7,5
"00031-10",10,14,3
"00031-11",11,9,5
"00031-12",12,15,10
"00031-13",13,10,10
"00031-14",14,18,7
"00031-15",15,2,4
"00031-16",16,3,12
"00031-17",17,26,9
"00031-18",18,6,9
"00031-19",19,27,13
"00031-20",20,11,7
"00031-21",21,12,5
"00031-22",22,24,4
"00031-23",23,20,13
"00031-24",24,16,12
"00031-25",25,8,6
"00031-26",26,21,8
"00031-27",27,4,11
"00032-01",1,27,6
"00032-02",2,11,11
"00032-03",3,8,12
"00032-04",4,16,5
"00032-05",5,24,14
"00032-06",6,10,9
"00032-07",7,19,9
"00032-08",8,21,11
"00032-09",9,18,7
"00032-10",10,7,3
"00032-11",11,4,13
"00032-12",12,15,14
"00032-13",13,22,9
"00032-14",14,2,11
"00032-15",15,1,4
"00032-16",16,12,13
"00032-17",17,13,10
"00032-18",18,20,11
"00032-19",19,5,9
"00032-20",20,17,8
"00032-21",21,9,14
"00032-22",22,25,12
"00032-23",23,26,4
"00032-24",24,14,4
"00032-25",25,3,10
"00032-26",26,6,12
"00032-27",27,23,5
"00033-01",1,8,5
"00033-02",2,4,13
"00033-03",3,26,3
"00033-04",4,10,11
"00033-05",5,12,6
"00033-06",6,22,5
"00033-07",7,3,5
"00033-08",8,23,9
"00033-09",9,19,12
"00033-10",10,13,5
"00033-11",11,6,13
"00033-12",12,2,4
"00033-13",13,5,3
"00033-14",14,21,12
"00033-15",15,24,6
"00033-16",16,25,5
"00033-17",17,27,14
"00033-18",18,15,4
"00033-19",19,7,12
"00033-20",20,17,8
"00033-21",21,14,9
"00033-22",22,16,7
"00033-23",23,1,3
"00033-24",24,20,3
"00033-25",25,11,14
"00033-26",26,18,5
"00033-27",27,9,10
"00034-01",1,19,10
"00034-02",2,20,13
"00034-03",3,21,5
"00034-04",4,6,9
"00034-05",5,14,7
"00034-06",6,1,5
"00034-07",7,22,12
"00034-08",8,27,5
"00034-09",9,10,9
"00034-10",10,24,10
"00034-11",11,4,14
"00034-12",12,15,5
"00034-13",13,12,8
"00034-14",14,17,7
"00034-15",15,7,6
"00034-16",16,23,9
"00034-17",17,8,14
"00034-18",18,25,5
"00034-19",19,26,13
"00034-20",20,2,9
"00034-21",21,11,3
"00034-22",22,13,8
"00034-23",23,5,7
"00034-24",24,3,4
"00034-25",25,9,4
"00034-26",26,16,14
"00034-27",27,18,8
"00035-01",1,5,10
"00035-02",2,26,3
"00035-03",3,17,5
"00035-04",4,12,5
"00035-05",5,7,7
"00035-06",6,23,10
"00035-07",7,13,14
"00035-08",8,3,14
"00035-09",9,27,10
"00035-10",10,21,5
"00035-11",11,14,12
"00035-12",12,6,6
"00035-13",13,9,12
"00035-14",14,4,12
"00035-15",15,24,7
"00035-16",16,19,3
"00035-17",17,22,13
"00035-18",18,1,12
"00035-19",19,18,9
"00035-20",20,15,10
"00035-21",21,25,11
"00035-22",22,20,13
"00035-23",23,8,12
"00035-24",24,10,11
"00035-25",25,11,13
"00035-26",26,16,14
"00035-27",27,2,7
"00036-01",1,12,10
"00036-02",2,1,5
"00036-03",3,4,8
"00036-04",4,21,8
"00036-05",5,27,10
"00036-06",6,11,14
"00036-07",7,5,5
"00036-08",8,19,3
"00036-09",9,24,14
"00036-10",10,18,11
"00036-11",11,23,9
"00036-12",12,10,10
"00036-13",13,15,13
"00036-14",14,16,10
"00036-15",15,20,5
"00036-16",16,22,7
"00036-17",17,6,7
"00036-18",18,14,13
"00036-19",19,2,7
"00036-20",20,8,14
"00036-21",21,26,3
"00036-22",22,25,9
"00036-23",23,3,4
"00036-24",24,9,6
"00036-25",25,13,9
"00036-26",26,7,5
"00036-27",27,17,9
"00037-01",1,19,9
"00037-02",2,20,14
"00037-03",3,15,5
"00037-04",4,23,7
"00037-05",5,13,10
"00037-06",6,9,6
"00037-07",7,27,13
"00037-08",8,14,14
"00037-09",9,11,6
"00037-10",10,16,8
"00037-11",11,18,9
"00037-12",12,10,11
"00037-13",13,17,13
"00037-14",14,5,12
"00037-15",15,7,7
"00037-16",16,24,4
"00037-17",17,22,5
"00037-18",18,8,5
"00037-19",19,4,11
"00037-20",20,26,10
"00037-21",21,6,7
"00037-22",22,25,12
"00037-23",23,1,8
"00037-24",24,3,10
"00037-25",25,2,7
"00037-26",26,12,10
"00037-27",27,21,7
"00038-01",1,12,14
"00038-02",2,4,3
"00038-03",3,9,12
"00038-04",4,27,6
"00038-05",5,6,12
"00038-06",6,8,11
"00038-07",7,1,8
"00038-08",8,21,13
"00038-09",9,14,8
"00038-10",10,23,5
"00038-11",11,17,5
"00038-12",12,13,6
"00038-13",13,26,14
"00038-14",14,3,3
"00038-15",15,2,5
"00038-16",16,22,8
"00038-17",17,19,8
"00038-18",18,11,5
"00038-19",19,16,14
"00038-20",20,15,7
"00038-21",21,25,13
"00038-22",22,10,5
"00038-23",23,18,6
"00038-24",24,20,9
"00038-25",25,24,12
"00038-26",26,7,9
"00038-27",27,5,13
"00039-01",1,12,11
"00039-02",2,6,12
"00039-03",3,13,10
"00039-04",4,9,3
"00039-05",5,1,8
"00039-06",6,20,4
"00039-07",7,16,7
"00039-08",8,23,11
"00039-09",9,19,3
"00039-10",10,7,12
"00039-11",11,10,6
"00039-12",12,8,8
"00039-13",13,11,3
"00039-14",14,21,11
"00039-15",15,25,5
"00039-16",16,22,12
"00039-17",17,14,12
"00039-18",18,4,11
"00039-19",19,5,12
"00039-20",20,18,4
"00039-21",21,3,8
"00039-22",22,26,12
"00039-23",23,15,12
"00039-24",24,17,14
"00039-25",25,27,13
"00039-26",26,24,3
"00039-27",27,2,10
"00040-01",1,23,13
"00040-02",2,16,7
"00040-03",3,2,8
"00040-04",4,18,8
"00040-05",5,3,3
"00040-06",6,8,5
"00040-07",7,25,3
"00040-08",8,13,5
"00040-09",9,22,4
"00040-10",10,7,3
"00040-11",11,4,11
"00040-12",12,19,8
"00040-13",13,9,6
"00040-14",14,5,3
"00040-15",15,11,6
"00040-16",16,24,8
"00040-17",17,26,5
"00040-18",18,21,3
"00040-19",19,6,10
"00040-20",20,10,12
"00040-21",21,14,12
"00040-22",22,17,5
"00040-23",23,12,6
"00040-24",24,20,9
"00040-25",25,27,4
"00040-26",26,1,3
"00040-27",27,15,11
"00041-01",1,16,11
"00041-02",2,13,11
"00041-03",3,20,12
"00041-04",4,21,10
"00041-05",5,24,5
"00041-06",6,8,6
"00041-07",7,6,7
"00041-08",8,5,6
"00041-09",9,22,5
"00041-10",10,27,7
"00041-11",11,3,6
"00041-12",12,15,8
"00041-13",13,18,6
"00041-14",14,12,6
"00041-15",15,2,14
"00041-16",16,7,8
"00041-17",17,1,9
"00041-18",18,26,3
"00041-19",19,17,7
"00041-20",20,4,14
"00041-21",21,11,13
"00041-22",22,25,3
"00041-23",23,9,13
"00041-24",24,19,6
"00041-25",25,10,3
"00041-26",26,14,13
"00041-27",27,23,14
"00042-01",1,5,4
"00042-02",2,15,5
"00042-03",3,18,8
"00042-04",4,11,7
"00042-05",5,27,11
"00042-06",6,23,8
"00042-07",7,22,10
"00042-08",8,24,3
"00042-09",9,1,6
"00042-10",10,25,14
"00042-11",11,13,10
"00042-12",12,20,10
"00042-13",13,14,7
"00042-14",14,2,8
"00042-15",15,7,8
"00042-16",16,9,3
"00042-17",17,21,3
"00042-18",18,16,8
"00042-19",19,4,4
"00042-20",20,3,13
"00042-21",21,19,6
"00042-22",22,8,3
"00042-23",23,6,4
"00042-24",24,17,6
"00042-25",25,26,12
"00042-26",26,10,13
"00042-27",27,12,8
"00043-01",1,27,11
"00043-02",2,10,9
"00043-03",3,26,13
"00043-04",4,13,8
"00043-05",5,15,10
"00043-06",6,17,14
"00043-07",7,9,14
"00043-08",8,20,6
"00043-09",9,1,11
"00043-10",10,24,5
"00043-11",11,14,6
"00043-12",12,21,10
"00043-13",13,18,13
"00043-14",14,19,7
"00043-15",15,5,14
"00043-16",16,2,13
"00043-17",17,12,5
"00043-18",18,11,6
"00043-19",19,3,8
"00043-20",20,16,4
"00043-21",21,22,14
"00043-22",22,7,9
"00043-23",23,4,13
"00043-24",24,23,6
"00043-25",25,6,6
"00043-26",26,8,13
"00043-27",27,25,12
"00044-01",1,26,11
"00044-02",2,4,8
"00044-03",3,5,11
